ACC=0.635543, f1_macro=0.627806, precision_macro=0.690580, recall_macro=0.658575, f1_micro=0.635543, precision_micro=0.635543, recall_micro=0.635543, NMI=0.309812, ADJ_RAND_SCORE=0.278907
ACC=0.635543, f1_macro=0.627806, precision_macro=0.690580, recall_macro=0.658575, f1_micro=0.635543, precision_micro=0.635543, recall_micro=0.635543, NMI=0.309812, ADJ_RAND_SCORE=0.278907
ACC=0.635492, f1_macro=0.627816, precision_macro=0.690350, recall_macro=0.658454, f1_micro=0.635492, precision_micro=0.635492, recall_micro=0.635492, NMI=0.309212, ADJ_RAND_SCORE=0.278707
ACC=0.635492, f1_macro=0.627791, precision_macro=0.690404, recall_macro=0.658454, f1_micro=0.635492, precision_micro=0.635492, recall_micro=0.635492, NMI=0.309349, ADJ_RAND_SCORE=0.278754
ACC=0.635492, f1_macro=0.627777, precision_macro=0.690390, recall_macro=0.658531, f1_micro=0.635492, precision_micro=0.635492, recall_micro=0.635492, NMI=0.309439, ADJ_RAND_SCORE=0.278765
ACC=0.635492, f1_macro=0.627777, precision_macro=0.690390, recall_macro=0.658531, f1_micro=0.635492, precision_micro=0.635492, recall_micro=0.635492, NMI=0.309439, ADJ_RAND_SCORE=0.278765
ACC=0.635492, f1_macro=0.627777, precision_macro=0.690390, recall_macro=0.658531, f1_micro=0.635492, precision_micro=0.635492, recall_micro=0.635492, NMI=0.309439, ADJ_RAND_SCORE=0.278765
ACC=0.635441, f1_macro=0.627716, precision_macro=0.690390, recall_macro=0.658412, f1_micro=0.635441, precision_micro=0.635441, recall_micro=0.635441, NMI=0.309411, ADJ_RAND_SCORE=0.278734
ACC=0.635543, f1_macro=0.627838, precision_macro=0.690426, recall_macro=0.658612, f1_micro=0.635543, precision_micro=0.635543, recall_micro=0.635543, NMI=0.309601, ADJ_RAND_SCORE=0.278891
ACC=0.638028, f1_macro=0.630616, precision_macro=0.692941, recall_macro=0.659960, f1_micro=0.638028, precision_micro=0.638028, recall_micro=0.638028, NMI=0.309835, ADJ_RAND_SCORE=0.279285
ACC=0.637977, f1_macro=0.630581, precision_macro=0.692848, recall_macro=0.659917, f1_micro=0.637977, precision_micro=0.637977, recall_micro=0.637977, NMI=0.309674, ADJ_RAND_SCORE=0.279217
ACC=0.637977, f1_macro=0.630581, precision_macro=0.692848, recall_macro=0.659917, f1_micro=0.637977, precision_micro=0.637977, recall_micro=0.637977, NMI=0.309674, ADJ_RAND_SCORE=0.279217
ACC=0.638180, f1_macro=0.630841, precision_macro=0.693018, recall_macro=0.660086, f1_micro=0.638180, precision_micro=0.638180, recall_micro=0.638180, NMI=0.309785, ADJ_RAND_SCORE=0.279294
ACC=0.638231, f1_macro=0.630900, precision_macro=0.693058, recall_macro=0.660128, f1_micro=0.638231, precision_micro=0.638231, recall_micro=0.638231, NMI=0.309807, ADJ_RAND_SCORE=0.279317
